_name,_namespace,_qualName,_dc:description,_type,_examples,_dc:relation,_group,_required
measurementTrailID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTrailID,Persistent identifier used to identify a trait measurement trial.,string,"URI, DOI, LSID or similar",http://terms.tdwg.org/wiki/germplasm:measurementTrailID,MeasurementTrail,false
measurementTrailIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTrailIdentifier,Unique number in the dataset for the measurement trial.,string,Local identifier for the measurement trial,http://terms.tdwg.org/wiki/germplasm:measurementTrailIdentifier,MeasurementTrail,false
measurementTrailYear,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTrailYear,The year of the trait measurement trial.,integer,2010,http://terms.tdwg.org/wiki/germplasm:measurementTrailYear,MeasurementTrail,false
measurementTrailReport,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTrailReport,"A reference to a report of the trial field season, could be supplied as the URL to the report online or as the file name or bibliographic citation string.",string,URL or reference citation,http://terms.tdwg.org/wiki/germplasm:measurementTrailReport,MeasurementTrail,false
measurementTrailRemarks,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTrailRemarks,Information relevant for the interpretation of the scores in the trial season such as weather conditions or experimental design.,string,"Experimental design, location, experimentor, weather, etc",http://terms.tdwg.org/wiki/germplasm:measurementTrailRemarks,MeasurementTrail,false
locationID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locationID,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,string,http://sws.geonames.org/2726528/,http://terms.tdwg.org/wiki/dwc:locationID,MeasurementTrailLocation,false
location,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#location,Location for the measurement trial.,string,"Wageningen, Netherlands",http://terms.tdwg.org/wiki/geo:location,MeasurementTrailLocation,false
longitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#lon,Longitude for the trial location.,decimal,-121.1761111,http://terms.tdwg.org/wiki/geo:lon,MeasurementTrailLocation,false
latitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#lat,Latitude for the trial location.,decimal,-41.0983423,http://terms.tdwg.org/wiki/geo:lat,MeasurementTrailLocation,false
altitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#alt,Altitude for the trial location.,integer,100,http://terms.tdwg.org/wiki/geo:alt,MeasurementTrailLocation,false
