_group,_name,_namespace,_qualName,_dc:relation,_dc:description,_comments,_examples,_required
MeasurementOrFact,measurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementID,https://dwc.tdwg.org/terms/#dwc:measurementID,"An identifier for the dwc:MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.",,`9c752d22-b09a-11e8-96f8-529269fb1459`,false
MeasurementOrFact,parentMeasurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/parentMeasurementID,https://dwc.tdwg.org/terms/#dwc:parentMeasurementID,An identifier for a broader dwc:MeasurementOrFact that groups this and potentially other dwc:MeasurementOrFacts.,May be a globally unique identifier or an identifier specific to the data set.,`9c752d22-b09a-11e8-96f8-529269fb1459`; `E1_E1_O1_M1`,false
MeasurementOrFact,measurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementType,https://dwc.tdwg.org/terms/#dwc:measurementType,"The nature of the measurement, fact, characteristic, or assertion.","Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`tail length`; `temperature`; `trap line length`; `survey area`; `trap type`,true
MeasurementOrFact,measurementValue,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementValue,https://dwc.tdwg.org/terms/#dwc:measurementValue,"The value of the measurement, fact, characteristic, or assertion.","This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`45`; `20`; `1`; `14.5`; `UV-light`,false
MeasurementOrFact,measurementAccuracy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementAccuracy,https://dwc.tdwg.org/terms/#dwc:measurementAccuracy,The description of the potential error associated with the dwc:measurementValue.,,`0.01`; `normal distribution with variation of 2 m`,false
MeasurementOrFact,measurementUnit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementUnit,https://dwc.tdwg.org/terms/#dwc:measurementUnit,The units associated with the dwc:measurementValue.,"Recommended best practice is to use the International System of Units (SI). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`m`; `g`; `l`; `°C`; `mm`; `km²`; `%`; `hh:mm:ss`,false
MeasurementOrFact,measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,https://dwc.tdwg.org/terms/#dwc:measurementDeterminedBy,"A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the dwc:MeasurementOrFact.","Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`Rob Guralnick`; `Peter Desmet | Stijn Van Hoey`,false
MeasurementOrFact,measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,https://dwc.tdwg.org/terms/#dwc:measurementDeterminedDate,The date on which the dwc:MeasurementOrFact was made.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007),false
MeasurementOrFact,measurementMethod,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementMethod,https://dwc.tdwg.org/terms/#dwc:measurementMethod,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.","This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`minimum convex polygon around burrow entrances` (for a home range area); `barometric altimeter` (for an elevation),false
MeasurementOrFact,measurementRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementRemarks,https://dwc.tdwg.org/terms/#dwc:measurementRemarks,Comments or notes accompanying the dwc:MeasurementOrFact.,,`tip of tail missing`,false
